time,temperatura
2:25:18,22.67175
2:25:21,22.95315
2:25:25,22.48782
2:22:57,22.43456
2:23:9,22.57114
2:23:20,22.67483
2:23:30,22.5638
2:23:41,22.62694
2:24:41,22.62362
2:24:53,22.60666
2:25:4,22.51446
2:25:16,22.55005
2:25:27,22.60657
